RAIL             , VCCINT , VCCINT , VCCINT , VCCBRAM , VCCBRAM , VCCAUX , VCCAUX , HDIO , HRIO , HPIO , VCCO
CAP IN UF        , 680    , 100    , 4.7    , 47      , 4.7     , 47     , 4.7    , 47   , 47   , 47   , 47
XCKU025-FFVA1156 , 1      , 1      , 2      , 1       , 1       , 1      , 2      , 0    , 1    , 1    , 1
XCKU035-FBVA676  , 1      , 1      , 3      , 1       , 1       , 1      , 3      , 0    , 1    , 1    , 1
XCKU035-FBVA900  , 1      , 1      , 3      , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 1
XCKU035-FFVA1156 , 1      , 1      , 3      , 1       , 1       , 2      , 5      , 0    , 1    , 1    , 1
XCKU035-SFVA784  , 1      , 1      , 3      , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 1
XCKU040-FBVA676  , 1      , 2      , 3      , 1       , 1       , 1      , 3      , 0    , 1    , 1    , 1
XCKU040-FBVA900  , 1      , 2      , 3      , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 1
XCKU040-FFVA1156 , 1      , 2      , 3      , 1       , 1       , 2      , 5      , 0    , 1    , 1    , 1
XCKU040-SFVA784  , 1      , 1      , 3      , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 1
XCKU060-FFVA1156 , 1      , 2      , 4      , 1       , 1       , 2      , 5      , 0    , 1    , 1    , 1
XCKU060-FFVA1517 , 1      , 2      , 4      , 1       , 1       , 3      , 6      , 0    , 1    , 1    , 1
XCKU085-FLVA1517 , 2      , 4      , 7      , 1       , 1       , 3      , 6      , 0    , 1    , 1    , 1
XCKU085-FLVB1760 , 2      , 4      , 7      , 1       , 1       , 3      , 6      , 0    , 1    , 1    , 1
XCKU085-FLVF1924 , 2      , 4      , 7      , 1       , 1       , 3      , 6      , 0    , 1    , 1    , 1
XCKU095-FFVA1156 , 1      , 2      , 4      , 1       , 1       , 2      , 5      , 0    , 1    , 1    , 1
XCKU095-FFVB1760 , 1      , 2      , 4      , 1       , 1       , 3      , 6      , 0    , 1    , 1    , 1
XCKU095-FFVB2104 , 1      , 2      , 4      , 1       , 1       , 3      , 6      , 0    , 1    , 1    , 1
XCKU095-FFVC1517 , 1      , 2      , 4      , 1       , 1       , 2      , 5      , 0    , 1    , 1    , 1
XCKU115-FLVA1517 , 3      , 5      , 9      , 1       , 1       , 3      , 6      , 0    , 1    , 1    , 1
XCKU115-FLVA2104 , 3      , 5      , 9      , 1       , 1       , 4      , 8      , 0    , 1    , 1    , 1
XCKU115-FLVB1760 , 3      , 5      , 9      , 1       , 1       , 3      , 7      , 0    , 1    , 1    , 1
XCKU115-FLVB2104 , 3      , 5      , 9      , 1       , 1       , 3      , 7      , 0    , 1    , 1    , 1
XCKU115-FLVD1517 , 3      , 5      , 9      , 1       , 1       , 1      , 3      , 0    , 1    , 1    , 1
XCKU115-FLVD1924 , 3      , 5      , 9      , 1       , 1       , 4      , 8      , 0    , 1    , 1    , 1
XCKU115-FLVF1924 , 3      , 5      , 9      , 1       , 1       , 3      , 7      , 0    , 1    , 1    , 1
XCKU11P-FFVA1156 , 2      , 2      , 5      , 1       , 1       , 2      , 4      , 1    , 0    , 1    , 0
XCKU11P-FFVD900  , 2      , 2      , 5      , 1       , 1       , 2      , 3      , 1    , 0    , 1    , 0
XCKU11P-FFVE1517 , 2      , 2      , 5      , 1       , 1       , 2      , 4      , 1    , 0    , 1    , 0
XCKU13P-FFVE900  , 2      , 3      , 5      , 1       , 1       , 2      , 2      , 1    , 0    , 1    , 0
XCKU15P-FFVA1156 , 2      , 3      , 5      , 1       , 1       , 2      , 5      , 1    , 0    , 1    , 0
XCKU15P-FFVA1760 , 2      , 3      , 5      , 1       , 1       , 2      , 4      , 1    , 0    , 1    , 0
XCKU15P-FFVE1517 , 2      , 3      , 5      , 1       , 1       , 2      , 4      , 1    , 0    , 1    , 0
XCKU15P-FFVE1760 , 2      , 3      , 5      , 1       , 1       , 2      , 6      , 1    , 0    , 1    , 0
XCKU3P-FFVA676   , 1      , 1      , 2      , 1       , 1       , 1      , 2      , 1    , 0    , 1    , 0
XCKU3P-FFVB676   , 1      , 1      , 2      , 1       , 1       , 1      , 2      , 1    , 0    , 1    , 0
XCKU3P-FFVD900   , 1      , 1      , 2      , 1       , 1       , 1      , 2      , 1    , 0    , 1    , 0
XCKU3P-SFVB784   , 1      , 1      , 2      , 1       , 1       , 1      , 2      , 1    , 0    , 1    , 0
XCKU5P-FFVA676   , 1      , 2      , 3      , 1       , 1       , 1      , 2      , 1    , 0    , 1    , 0
XCKU5P-FFVB676   , 1      , 2      , 3      , 1       , 1       , 1      , 2      , 1    , 0    , 1    , 0
XCKU5P-FFVD900   , 1      , 2      , 3      , 1       , 1       , 1      , 2      , 1    , 0    , 1    , 0
XCKU5P-SFVB784   , 1      , 2      , 3      , 1       , 1       , 1      , 2      , 1    , 0    , 1    , 0
XCKU9P-FFVE900   , 1      , 2      , 4      , 1       , 1       , 1      , 2      , 1    , 0    , 1    , 0
XCVU065-FFVC1517 , 1      , 1      , 3      , 1       , 1       , 2      , 5      , 0    , 1    , 1    , 1
XCVU080-FFVA2104 , 1      , 2      , 3      , 1       , 1       , 4      , 8      , 0    , 1    , 1    , 1
XCVU080-FFVB1760 , 1      , 2      , 3      , 1       , 1       , 3      , 7      , 0    , 1    , 1    , 1
XCVU080-FFVB2104 , 1      , 2      , 3      , 1       , 1       , 3      , 7      , 0    , 1    , 1    , 1
XCVU080-FFVC1517 , 1      , 2      , 3      , 1       , 1       , 2      , 5      , 0    , 1    , 1    , 1
XCVU080-FFVD1517 , 1      , 2      , 3      , 1       , 1       , 2      , 3      , 0    , 1    , 1    , 1
XCVU095-FFVA2104 , 1      , 2      , 4      , 1       , 1       , 4      , 8      , 0    , 1    , 1    , 1
XCVU095-FFVB1760 , 1      , 2      , 4      , 1       , 1       , 3      , 7      , 0    , 1    , 1    , 1
